date, pm25
2019/2/15, 73
2019/2/16, 33
2019/2/17, 60
2019/2/18, 77
2019/2/19, 81
2019/2/20, 61
2019/2/21, 125
2019/2/22, 103
2019/2/23, 78
2019/2/24, 93
2019/2/25, 123
2019/2/26, 106
2019/2/27, 85
2019/2/28, 96
2019/3/1, 84
2019/3/2, 77
2019/3/3, 70
2019/3/4, 77
2019/3/5, 114
2019/3/6, 151
2019/3/7, 164
2019/3/8, 119
2019/3/9, 66
2019/3/10, 95
2019/3/11, 90
2019/3/12, 87
2019/3/13, 52
2019/3/14, 87
2019/3/15, 60
2019/3/16, 57
2019/3/17, 84
2019/3/18, 53
2019/3/19, 78
2019/3/20, 96
2019/3/21, 86
2019/3/22, 85
2019/3/23, 92
2019/3/24, 95
2019/3/25, 78
2019/3/26, 52
2019/3/27, 61
2019/3/28, 68
2019/3/29, 61
2019/3/30, 56
2019/3/31, 90
2018/11/26, 90
2018/11/27, 90
2018/11/28, 101
2018/11/29, 116
2018/11/30, 58
2018/12/1, 74
2018/12/2, 173
2018/12/3, 201
2018/12/4, 184
2018/12/7, 126
2018/12/8, 134
2018/12/9, 120
2018/12/10, 135
2018/12/11, 99
2018/12/12, 125
2018/12/13, 32
2018/12/14, 27
2018/12/15, 25
2018/12/17, 151
2018/12/18, 78
2018/12/19, 80
2018/12/20, 82
2018/12/21, 139
2018/12/22, 129
2018/12/23, 160
2018/12/24, 156
2018/12/25, 98
2018/12/26, 147
2018/12/27, 49
2018/12/28, 38
2018/12/29, 100
2018/12/30, 67
